(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(10)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(560)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(606)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(611)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(733)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(779)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(793)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(820)), {C=0.001190273762965482, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(914)), {C=0.001020234653970413, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(948)), {C=0.001020234653970413, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(984)), {C=0.001190273762965482, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1027)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1044)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1058)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1059)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1083)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1091)), {C=0.001020234653970413, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1109)), {C=0.001190273762965482, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1136)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1162)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1192)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1222)), {C=0.001190273762965482, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1287)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1362)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1397)), {C=0.001020234653970413, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1437)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1471)), {C=0.0008501955449753444, S=0.00048633401420095323}
