(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(18)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(371)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(372)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(407)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(417)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(419)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(434)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(436)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(443)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(455)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(460)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(465)), {C=0.0010370754472387867, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(482)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(498)), {C=0.0010370754472387867, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(501)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(502)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(511)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(537)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(539)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(541)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(546)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(553)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(581)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(585)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(600)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(610)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(613)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(615)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(622)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(660)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(683)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(695)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(773)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(794)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(823)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(827)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(840)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(849)), {C=0.0009074410163339383, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(863)), {C=0.0009074410163339383, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(868)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(879)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(880)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(882)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(910)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(914)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(923)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(938)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(953)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(967)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(970)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(975)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1010)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1029)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1046)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1077)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1085)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1115)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1122)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1134)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1211)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1226)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1260)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1279)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1280)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1283)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1310)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1316)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1337)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1358)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1360)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1361)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1380)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1382)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1387)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1400)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1421)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1423)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1438)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1440)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1441)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1445)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1446)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1447)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1492)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1499)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1501)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1506)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1523)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1527)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1534)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(1540)), {C=0.0006481721545242416, S=0.00048633401420095323}
