(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(4)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(33)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(35)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(39)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(43)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(46)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(48)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(49)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(54)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(57)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(59)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(60)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(61)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(62)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(63)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(65)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(66)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(70)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(71)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(72)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(73)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(74)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(75)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(77)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(81)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(83)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(84)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(85)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(86)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(88)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(90)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(91)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(100)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(102)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(104)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(109)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(111)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(112)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(114)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(119)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(120)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(124)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(127)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(130)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(131)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(135)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(137)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(139)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(142)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(147)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(152)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(153)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(155)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(161)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(163)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(166)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(177)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(178)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(182)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(185)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(194)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(200)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(201)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(205)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(211)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(215)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(218)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(223)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(224)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(226)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(231)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(234)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(237)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(238)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(239)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(243)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(244)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(249)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(250)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(252)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(255)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(260)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(262)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(268)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(269)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(272)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(279)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(291)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(300)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(301)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(302)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(304)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(305)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(309)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(315)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(327)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(328)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(333)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(344)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(345)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(347)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(348)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(351)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(354)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(356)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(360)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(362)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(367)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(368)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(369)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(373)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(374)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(376)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(377)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(379)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(386)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(389)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(391)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(394)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(397)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(402)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(403)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(404)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(408)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(409)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(414)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(415)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(417)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(420)), {C=0.0010500892575868949, S=0.0009726680284019065}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(424)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(427)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(429)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(430)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(434)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(435)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(436)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(437)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(438)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(439)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(440)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(441)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(444)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(445)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(448)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(450)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(456)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(458)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(459)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(462)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(466)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(468)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(472)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(474)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(475)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(476)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(482)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(486)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(487)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(494)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(495)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(496)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(499)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0007350624803108264, S=0.0006808676198813345}
