(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(108)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1207)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(108)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(133)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0007212033793529774, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(712)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(998)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1101)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1207)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(108)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(133)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0007212033793529774, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(712)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(998)), {C=0.0006181743251596949, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1101)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1207)), {C=0.0005151452709664126, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0005151452709664126, S=0.00048633401420095323}
