(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(3)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(264)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(268)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(284)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(297)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(298)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(313)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(316)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(321)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(323)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(326)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(333)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(339)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(340)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(341)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(344)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(345)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(359)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(364)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(371)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(373)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(375)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(376)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(378)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(382)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(390)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(393)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(402)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(409)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(411)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(419)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(427)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(440)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(442)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(443)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(446)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(454)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(455)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(466)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(467)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(472)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(477)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(479)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(481)), {C=0.0009411272613196696, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(497)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(502)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(504)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(506)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(508)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(518)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(520)), {C=0.0009411272613196696, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(522)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(523)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(525)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(527)), {C=0.0009411272613196696, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(528)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(530)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(537)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(539)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(543)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(547)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(549)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(554)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(558)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(560)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(566)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(567)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(570)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(580)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(584)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(593)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(595)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(603)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(604)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(608)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(609)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(610)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(616)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(623)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(626)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(629)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(648)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(654)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(660)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(662)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(673)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(677)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(678)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(679)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(683)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(690)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(691)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(696)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(710)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(714)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(737)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(746)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(767)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(769)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(778)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(783)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(789)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(806)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(808)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(812)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(815)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(816)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(817)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(832)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(837)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(838)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(849)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(855)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(869)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(871)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(883)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(887)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(889)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(892)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(894)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(895)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(897)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(900)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(901)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(908)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(917)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(924)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(925)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(927)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(931)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(932)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(934)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(938)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(945)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(948)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(952)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(955)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(960)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(962)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(965)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(966)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(967)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(970)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(974)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(975)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(979)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(983)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(991)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(997)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1017)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1023)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1030)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1042)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1050)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1067)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1082)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1088)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1089)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1092)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1105)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1107)), {C=0.0005228484785109276, S=0.00048633401420095323}
