(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(37)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1128)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1145)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1162)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1171)), {C=0.0006485084306095979, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1302)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1401)), {C=0.000540423692174665, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1411)), {C=0.0006485084306095979, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1441)), {C=0.0006485084306095979, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1489)), {C=0.0006485084306095979, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1538)), {C=0.000540423692174665, S=0.00048633401420095323}
