(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(66)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(855)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(858)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(915)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(946)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(951)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(957)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(964)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(996)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1023)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1036)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1154)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1163)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1198)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1208)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1227)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1239)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1281)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1356)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1358)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1389)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1406)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1417)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1419)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1432)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1446)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1447)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1452)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1483)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1491)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1498)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1519)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1555)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(66)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(128)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(358)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(389)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(393)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(404)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(412)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(415)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(549)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(570)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(572)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(583)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(584)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(593)), {C=0.0011500127779197546, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(598)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(617)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(681)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(682)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(690)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(693)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(706)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(733)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(830)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(833)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(855)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(858)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(915)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(946)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(951)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(957)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(964)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(996)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1023)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1036)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1154)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1163)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1198)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1208)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1227)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1239)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1281)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1356)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1358)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1389)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1406)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1417)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1419)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1432)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1446)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1447)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1452)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1483)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1491)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1498)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1519)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1555)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(66)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(128)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(358)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(389)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(393)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(404)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(412)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(415)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(549)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(570)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(572)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(583)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(584)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(593)), {C=0.0011500127779197546, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(598)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(617)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(681)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(682)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(690)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(693)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(706)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(733)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(830)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(833)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(855)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(858)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(915)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(946)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(951)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(957)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(964)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(996)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1023)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1036)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1154)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1163)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1198)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1208)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1227)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1239)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1281)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1356)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1358)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1389)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1406)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1417)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1419)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1432)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1446)), {C=0.0008944543828264757, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1447)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1452)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1483)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1491)), {C=0.0007666751852798364, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1498)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1519)), {C=0.000638895987733197, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1555)), {C=0.000638895987733197, S=0.00048633401420095323}
