(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(6)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(98)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(99)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(101)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(102)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(106)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(107)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(109)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(110)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(112)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(113)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(115)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(122)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(123)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(125)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(126)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(127)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(132)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(133)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(136)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(138)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(139)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(143)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(146)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(148)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(150)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(152)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(153)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(154)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(158)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(159)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(161)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(162)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(163)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(166)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(167)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(176)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(178)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(179)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(181)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(182)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(184)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(192)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(195)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(197)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(199)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(200)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(203)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(205)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(208)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(211)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(216)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(218)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(221)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(222)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(224)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(225)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(226)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(227)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(228)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(231)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(232)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(233)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(234)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(244)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(245)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(249)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(250)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(252)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(253)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(254)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(255)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(259)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(263)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(266)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(269)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(270)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(271)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(274)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(276)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(277)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(283)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(285)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(287)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(288)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(298)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(300)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(302)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(304)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(308)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(315)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(318)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(320)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(322)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(323)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(326)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(328)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(329)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(331)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(332)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(334)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(339)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(340)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(341)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(343)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(348)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(349)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(350)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(351)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(353)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(357)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(358)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(361)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(362)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(363)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(364)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(366)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(371)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(372)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(376)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(378)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(379)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(380)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(382)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(383)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(384)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(385)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(390)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(391)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(393)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(394)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(395)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(398)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(399)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(400)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(401)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(403)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(404)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(405)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(406)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(410)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(411)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(413)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(414)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(415)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(416)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(417)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(418)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(419)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(425)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(426)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(427)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(428)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(429)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(430)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(432)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(433)), {C=0.001346045989904655, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(437)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(439)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(440)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(441)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(442)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(443)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(445)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(446)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(447)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(448)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(452)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(454)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(457)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(461)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(463)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(466)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(470)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(475)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(477)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(479)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(480)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(481)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(482)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(484)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(486)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(487)), {C=0.0005608524957936063, S=0.00048633401420095323}
