(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(7)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(321)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(335)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(353)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(358)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(361)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(382)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(388)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(389)), {C=0.0016656256506350198, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(393)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(400)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(404)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(412)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(414)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(415)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(437)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(469)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(474)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(477)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(482)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(487)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(489)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(500)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(513)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(515)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(519)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(529)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(532)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(535)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(537)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(549)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(556)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(564)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(570)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(572)), {C=0.0018738288569643974, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(580)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(583)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(584)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(593)), {C=0.0018738288569643974, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(598)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(607)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(611)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(617)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(618)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(650)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(663)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(671)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(673)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(681)), {C=0.0016656256506350198, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(682)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(685)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(687)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(688)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(689)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(690)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(693)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(696)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(706)), {C=0.0016656256506350198, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(718)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(733)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(736)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(782)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(789)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(797)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(803)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(805)), {C=0.0018738288569643974, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(823)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(827)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(830)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(833)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(844)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(845)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(847)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(848)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(855)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(858)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(872)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(902)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(907)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(910)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(915)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(921)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(933)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(941)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(946)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(952)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(957)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(963)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(964)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(987)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(988)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(992)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(993)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(996)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1015)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1018)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1036)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1048)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1064)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1084)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1086)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1092)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1099)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1100)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1122)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1136)), {C=0.0018738288569643974, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1140)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1147)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1154)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1163)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1169)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1173)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1198)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1208)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1222)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1223)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1226)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1227)), {C=0.0016656256506350198, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1234)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1236)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1237)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1239)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1249)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1259)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1281)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1286)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1319)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1324)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1337)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1341)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1353)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1356)), {C=0.0016656256506350198, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1358)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1367)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1370)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1380)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1389)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1392)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1406)), {C=0.0016656256506350198, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1415)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1417)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1419)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1420)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1428)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1432)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1436)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1437)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1443)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1445)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1446)), {C=0.0018738288569643974, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1447)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1452)), {C=0.0016656256506350198, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1455)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1466)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1467)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1474)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1479)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1480)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1483)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1485)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1488)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1491)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1494)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1498)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1504)), {C=0.0010410160316468874, S=0.00048633401420095323}
