(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(7)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(609)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(638)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(640)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(641)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(645)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(650)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(661)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(662)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(685)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(689)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(692)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(696)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(712)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(714)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(716)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(748)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(769)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(778)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(782)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(787)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(789)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(791)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(815)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(816)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(823)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(832)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(836)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(838)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(842)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(855)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(869)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(871)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(886)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(893)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(894)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(895)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(897)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(908)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(911)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(915)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(917)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(925)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(927)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(932)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(938)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(952)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(956)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(960)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(965)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(970)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(974)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(976)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(993)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1017)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1020)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1021)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1023)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1030)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1042)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1045)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1047)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1050)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1075)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1082)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1088)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1114)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1121)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1124)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1126)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1136)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1139)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1161)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1166)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1171)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1172)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1176)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1182)), {C=0.0006127450980392157, S=0.0005836008170411438}
