(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(80)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(694)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(723)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(749)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(784)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(802)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(808)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(820)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(841)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(847)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(850)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(887)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(904)), {C=0.0006388415672913117, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(905)), {C=0.0006388415672913117, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(927)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(952)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(956)), {C=0.0006388415672913117, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(970)), {C=0.0006388415672913117, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(979)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(988)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1025)), {C=0.0006388415672913117, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1033)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1041)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1175)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1210)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1216)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1245)), {C=0.0008517887563884158, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1275)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1298)), {C=0.0006388415672913117, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1299)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1300)), {C=0.0007453151618398638, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1362)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1496)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1507)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1538)), {C=0.0009582623509369677, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1553)), {C=0.0007453151618398638, S=0.0006808676198813345}
