(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(12)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(406)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(423)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(438)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(441)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(443)), {C=0.001014455997971088, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(456)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(472)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(483)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(484)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(486)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(488)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(502)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(514)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(529)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(535)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(536)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(552)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(560)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(587)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(592)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(595)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(599)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(602)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(605)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(606)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(612)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(619)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(632)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(633)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(638)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(639)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(642)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(643)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(644)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(654)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(660)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(666)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(677)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(680)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(681)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(687)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(688)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(696)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(716)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(718)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(723)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(733)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(734)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(736)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(741)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(757)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(766)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(805)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(814)), {C=0.001014455997971088, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(819)), {C=0.001014455997971088, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(822)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(826)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(854)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(856)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(865)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(870)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(872)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(882)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(894)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(897)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(906)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(923)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(933)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(951)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(958)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(961)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(967)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(969)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(982)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(984)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(988)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(991)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(992)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(996)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(998)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1000)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1003)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1024)), {C=0.001014455997971088, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1054)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1070)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1078)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1084)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1100)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1101)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1104)), {C=0.001141262997717474, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1136)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1160)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1202)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1214)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1224)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1234)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1259)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1265)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1272)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1275)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1281)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1289)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1319)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1320)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1326)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1332)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1336)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1374)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1377)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1383)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1397)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1401)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1408)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1410)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1425)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1434)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1437)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1466)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1467)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1470)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1477)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1526)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1528)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1530)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1553)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(1558)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(12)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(21)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(22)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(31)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(35)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(41)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(50)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(59)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(95)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(107)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(108)), {C=0.001014455997971088, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(115)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(123)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(126)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(163)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(176)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(180)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(185)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(201)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(202)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(212)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(269)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(274)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(283)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(285)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(292)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(293)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(302)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(333)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(343)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(346)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(347)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(351)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(356)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(359)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(368)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(375)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(384)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(386)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(395)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(400)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(406)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(423)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(438)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(441)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(443)), {C=0.001014455997971088, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(456)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(472)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(483)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(484)), {C=0.0007608419984783159, S=0.0005836008170411438}
