(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(2)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(180)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(195)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(196)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(198)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(201)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(211)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(212)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(215)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(216)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(222)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(224)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(226)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(227)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(228)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(229)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(232)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(235)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(238)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(241)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(251)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(259)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(260)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(261)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(262)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(264)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(269)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(274)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(277)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(279)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(292)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(293)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(301)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(307)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(310)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(327)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(328)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(334)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(335)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(337)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(339)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(342)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(347)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(349)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(354)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(357)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(360)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(361)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(369)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(370)), {C=0.001031636863823934, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(374)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(384)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(385)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(386)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(390)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(396)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(397)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(399)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(402)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(404)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(407)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(410)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(412)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(414)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(419)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(420)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(426)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(428)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(429)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(431)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(432)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(434)), {C=0.001031636863823934, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(437)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(439)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(440)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(446)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(447)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(449)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(450)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(451)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(455)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(456)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(458)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(460)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(461)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(462)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(463)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(465)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(466)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(473)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(476)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(477)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(481)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(483)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(490)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(492)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(495)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(496)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(498)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(500)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(503)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(504)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(509)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(511)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(516)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(522)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(532)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(534)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(539)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(546)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(547)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(548)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(550)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(552)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(553)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(563)), {C=0.0011462631820265935, S=0.0009726680284019065}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(569)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(571)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(575)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(576)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(579)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(581)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(588)), {C=0.001375515818431912, S=0.0011672016340822876}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(590)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(592)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(593)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(594)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(597)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(598)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(599)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(604)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(606)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(608)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(609)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(613)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(621)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(622)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(626)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(628)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(633)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(634)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(635)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(637)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(639)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(645)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(652)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(654)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(656)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(680)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(686)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(689)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(691)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(692)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(698)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(703)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(705)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(706)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(710)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(712)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(723)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(725)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(727)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(730)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(732)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(733)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(735)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(737)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(743)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(749)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(756)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(768)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(769)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(775)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(781)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(782)), {C=0.0005731315910132967, S=0.00048633401420095323}
