(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(11)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1045)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1046)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1055)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1058)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1065)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1067)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1088)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1091)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1146)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1148)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1152)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1163)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1169)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1199)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1208)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1220)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1288)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1295)), {C=0.0008976660682226211, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1300)), {C=0.0008976660682226211, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1347)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1366)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1380)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1450)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1453)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1454)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1455)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1457)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1466)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1501)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1531)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1554)), {C=0.0006411900487304438, S=0.00048633401420095323}
