(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(7)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(84)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(88)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(97)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(100)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(105)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(108)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(112)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(116)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(122)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(125)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(132)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(138)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(154)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(157)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(160)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(166)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(168)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(170)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(172)), {C=0.0011588828369451848, S=0.0009726680284019065}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(175)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(176)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(177)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(179)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(188)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(189)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(199)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(206)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(225)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(231)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(240)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(241)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(257)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(261)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(264)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(265)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(266)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(267)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(268)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(275)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(277)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(278)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(280)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(282)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(290)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(307)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(310)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(315)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(316)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(317)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(323)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(326)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(328)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(334)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(337)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(341)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(345)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(346)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(350)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(355)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(358)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(367)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(370)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(373)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(374)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(378)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(384)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(389)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(390)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(396)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(403)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(407)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(411)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(414)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(415)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(422)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(432)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(434)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(437)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(444)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(447)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(451)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(453)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(455)), {C=0.0012747711206397034, S=0.001069934831242097}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(457)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(461)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(463)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(464)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(465)), {C=0.0011588828369451848, S=0.0009726680284019065}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(467)), {C=0.0010429945532506664, S=0.0008754012255617158}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(469)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(482)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(483)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(486)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(488)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(503)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(513)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(517)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(523)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(525)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(527)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(529)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(530)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(540)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(541)), {C=0.0010429945532506664, S=0.0008754012255617158}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(542)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(546)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(547)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(549)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(555)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(562)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(566)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(570)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(575)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(576)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(580)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(590)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(600)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(601)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(603)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(605)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(609)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(611)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(614)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(618)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(628)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(629)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(630)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(632)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(634)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(636)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(647)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(665)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(679)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(681)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(682)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(684)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(686)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(696)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(717)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(718)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(725)), {C=0.0012747711206397034, S=0.001069934831242097}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(726)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(733)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(739)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(752)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(756)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(761)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(776)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(778)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(786)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(788)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(800)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(804)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(805)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(806)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(807)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(814)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(816)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(819)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(820)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(823)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(827)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(834)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(840)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(844)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(848)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(849)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(850)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(856)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(863)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(865)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(869)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(871)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(880)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(881)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(883)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(887)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(896)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(897)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(898)), {C=0.0012747711206397034, S=0.001069934831242097}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(899)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(905)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(908)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(909)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(911)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(912)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(914)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(915)), {C=0.0010429945532506664, S=0.0008754012255617158}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(917)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(920)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(929)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(933)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(934)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(939)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(940)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(941)), {C=0.0006953297021671109, S=0.0005836008170411438}
