(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(4)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(409)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(410)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(411)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(412)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(413)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(414)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(415)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(416)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(417)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(418)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(420)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(422)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(425)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(426)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(435)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(437)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(441)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(448)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(451)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(452)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(455)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(456)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(457)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(460)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(467)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(469)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(475)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(477)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(480)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(481)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(482)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(484)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(487)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(489)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(493)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(499)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(502)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(510)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(515)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(516)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(517)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(519)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(522)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(526)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(531)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(532)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(533)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(535)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(536)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(537)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(538)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(541)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(543)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(546)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(547)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(549)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(556)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(557)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(566)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(568)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(570)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(572)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(574)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(575)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(576)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(580)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(581)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(583)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(585)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(586)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(587)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(590)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(593)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(597)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(598)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(605)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(609)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(611)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(614)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(617)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(618)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(623)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(627)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(629)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(630)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(634)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(636)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(637)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(638)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(647)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(653)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(656)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(657)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(659)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(664)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(665)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(666)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(668)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(670)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(671)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(675)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(676)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(681)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(682)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(685)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(686)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(687)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(692)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(693)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(696)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(703)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(707)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(713)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(718)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(725)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(731)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(732)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(735)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(736)), {C=0.0008288928359976317, S=0.0006808676198813345}
