(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(2)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(245)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(248)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(250)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(251)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(253)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(255)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(256)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(259)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(263)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(268)), {C=0.0011791062374719961, S=0.0009726680284019065}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(272)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(273)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(274)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(280)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(281)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(282)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(285)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(287)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(290)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(297)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(301)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(304)), {C=0.0014149274849663952, S=0.0011672016340822876}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(308)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(310)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(312)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(315)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(317)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(321)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(328)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(332)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(336)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(338)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(349)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(357)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(358)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(360)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(361)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(365)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(366)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(373)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(374)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(375)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(376)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(379)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(381)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(382)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(383)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(385)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(387)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(388)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(389)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(390)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(395)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(396)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(397)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(399)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(403)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(404)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(406)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(407)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(411)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(413)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(414)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0012970168612191958, S=0.001069934831242097}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(416)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(417)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(419)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(421)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(422)), {C=0.0012970168612191958, S=0.001069934831242097}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(424)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(426)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(427)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(428)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(429)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(432)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(435)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(436)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(437)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(438)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(444)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(446)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(447)), {C=0.0012970168612191958, S=0.001069934831242097}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(453)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(458)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(461)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(463)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(464)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(467)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(469)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(470)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(474)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(476)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(477)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(478)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(482)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(483)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(486)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(487)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(489)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(492)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(493)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(498)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(500)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(502)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(504)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(505)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(507)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(508)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(509)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(510)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(511)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(513)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(514)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(515)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(517)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(519)), {C=0.0012970168612191958, S=0.001069934831242097}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(523)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(524)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(526)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(527)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(528)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(529)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(532)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(534)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(536)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(542)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(543)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(544)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(546)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(547)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(549)), {C=0.0012970168612191958, S=0.001069934831242097}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(553)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(554)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(556)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(559)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(560)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(563)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(564)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(565)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(566)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(570)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(572)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(573)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(577)), {C=0.0005895531187359981, S=0.00048633401420095323}
