(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(88)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(89)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(90)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(92)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(96)), {C=0.0011376564277588168, S=0.0009726680284019065}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(97)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(98)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(101)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(107)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(116)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(118)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(119)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(120)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(121)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(122)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(123)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(125)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(129)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(130)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(131)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(132)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(133)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(134)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(137)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(138)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(146)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(148)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(153)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(155)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(158)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(160)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(161)), {C=0.0011376564277588168, S=0.0009726680284019065}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(163)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(167)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(173)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(174)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(175)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(176)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(177)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(180)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(181)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(182)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(184)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(185)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(186)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(187)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(192)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(197)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(198)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(200)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(204)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(205)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(206)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(208)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(214)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(217)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(222)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(223)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(225)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(229)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(231)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(232)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(240)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(241)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(242)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(246)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(248)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(250)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(252)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(254)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(255)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(256)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(258)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(260)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(261)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(262)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(263)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(266)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(267)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(268)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(269)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(272)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(273)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(276)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(277)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(278)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(282)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(287)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(290)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(292)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(295)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(296)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(297)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(300)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(301)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(302)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(304)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(307)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(309)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(312)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(313)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(315)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(318)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(321)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(324)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(325)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(331)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(335)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(336)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(337)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(339)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(340)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(344)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(345)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(349)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(350)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(352)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(354)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(355)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(356)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(357)), {C=0.00136518771331058, S=0.0011672016340822876}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(362)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(363)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(364)), {C=0.0011376564277588168, S=0.0009726680284019065}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(366)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(367)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(368)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(371)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(372)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(373)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(374)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(375)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(377)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(378)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(379)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(380)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(382)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(388)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(389)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(390)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(394)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(396)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(397)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(398)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(400)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(404)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(406)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(407)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(408)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(409)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(412)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(413)), {C=0.0012514220705346984, S=0.001069934831242097}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(414)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(415)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(417)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(418)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(419)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(420)), {C=0.0011376564277588168, S=0.0009726680284019065}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(421)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(422)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(423)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(426)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(427)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(428)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(429)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(432)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(434)), {C=0.0012514220705346984, S=0.001069934831242097}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(435)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(437)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(443)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(444)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(445)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(446)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(447)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(449)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(450)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(451)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(452)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(453)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(455)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(458)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(462)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(463)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(465)), {C=0.00136518771331058, S=0.0011672016340822876}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(467)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(473)), {C=0.0009101251422070534, S=0.0007781344227215252}
