(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(2)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(380)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(382)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(384)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(388)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(390)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(395)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(399)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(403)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(404)), {C=0.0010092090324208404, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(405)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(406)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(408)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(416)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(417)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(418)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(426)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(427)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(435)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(440)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(443)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(459)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(466)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(467)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(468)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(472)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(476)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(482)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(484)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(492)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(501)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(502)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(505)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(508)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(510)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(520)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(522)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(525)), {C=0.0011353601614734453, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(529)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(530)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(532)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(536)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(541)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(551)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(556)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(560)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(563)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(565)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(568)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(581)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(583)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(587)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(590)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(591)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(592)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(617)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(636)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(639)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(643)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(669)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(683)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(688)), {C=0.0011353601614734453, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(696)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(711)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(741)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(742)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(747)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(753)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(764)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(788)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(793)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(795)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(798)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(808)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(819)), {C=0.0010092090324208404, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(820)), {C=0.0010092090324208404, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(823)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(827)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(833)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(841)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(842)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(843)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(844)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(845)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(860)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(875)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(882)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(885)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(897)), {C=0.0011353601614734453, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(903)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(905)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(906)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(910)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(915)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(937)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(938)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(941)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(942)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(943)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(948)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(954)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(956)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(958)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(965)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(970)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(975)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(980)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(984)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(995)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1000)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1003)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1012)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1016)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1032)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1036)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1042)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1044)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1046)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1048)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1053)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1058)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1065)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1069)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1078)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1086)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1091)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1100)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1120)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1124)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1128)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1131)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1136)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1138)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1139)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1145)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1148)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1153)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1163)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1165)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1202)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1209)), {C=0.0010092090324208404, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1220)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1222)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1237)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1240)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1241)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1287)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1301)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1302)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1327)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1331)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1333)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1353)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1355)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1362)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1380)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1383)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1387)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1389)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1393)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1395)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1397)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1400)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1401)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1407)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1409)), {C=0.0006307556452630252, S=0.00048633401420095323}
