(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(12)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(111)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(112)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(113)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(115)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(126)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(127)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(134)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(135)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(139)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(140)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(143)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(146)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(147)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(153)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(164)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(167)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(179)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(180)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(185)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(188)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(189)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(192)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(202)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(204)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(205)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(206)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(217)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(221)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(224)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(231)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(234)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(258)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(262)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(264)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(266)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(269)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(271)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(279)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(296)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(302)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(306)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(311)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(328)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(329)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(341)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(343)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(347)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(351)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(360)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(361)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(363)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(366)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(379)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(382)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(384)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(386)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(391)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(394)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(396)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(397)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(398)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(400)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(401)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(410)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(414)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(417)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(419)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(421)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(425)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(426)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(428)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(430)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(433)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(440)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(441)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(443)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(447)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(456)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(469)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(471)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(472)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(480)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(482)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(483)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(485)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(486)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(490)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(501)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(503)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(504)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(510)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(522)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(535)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(544)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(545)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(549)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(550)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(551)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(552)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(559)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(560)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(562)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(566)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(574)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(578)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(585)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(588)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(589)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(594)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(597)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(605)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(606)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(612)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(618)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(629)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(630)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(631)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(634)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(643)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(644)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(654)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(657)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(658)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(659)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(664)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(671)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(674)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(678)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(679)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(681)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(683)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(684)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(685)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(686)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(689)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(697)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(707)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(710)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(712)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(723)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(733)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(747)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(751)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(755)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(760)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(771)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(773)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(774)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(777)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(779)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(783)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(798)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(807)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(813)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(814)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(817)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(818)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(821)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(826)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(834)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(839)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(840)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(849)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(852)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(854)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(856)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(857)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(858)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(860)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(862)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(865)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(866)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(868)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(869)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(872)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(882)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(884)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(895)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(903)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(905)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(906)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(911)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(921)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(922)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(928)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(929)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(930)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(938)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(948)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(950)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(952)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(954)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(957)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(960)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(961)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(970)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(972)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(975)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(977)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(988)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(998)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1000)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1001)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1006)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1009)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1018)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1024)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1037)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1038)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1039)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1043)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1044)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1047)), {C=0.0007401924500370096, S=0.0005836008170411438}
