(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(6)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(56)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(58)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(62)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(69)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(71)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(72)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(73)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(80)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(82)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(83)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(84)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(86)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(88)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(91)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(96)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(97)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(100)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(102)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(103)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(106)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(107)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(108)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(111)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(112)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(113)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(117)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(119)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(123)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(124)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(131)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(134)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(138)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(147)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(149)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(152)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(155)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(160)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(161)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(162)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(163)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(164)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(165)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(168)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(179)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(180)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(183)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(190)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(191)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(195)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(196)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(198)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(201)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(207)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(211)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(212)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(214)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(216)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(223)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(225)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(228)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(229)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(230)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(231)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(241)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(242)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(245)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(250)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(252)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(254)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(255)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(258)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(260)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(261)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(264)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(268)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(270)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(271)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(274)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(278)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(279)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(283)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(287)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(289)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(290)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(292)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(293)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(298)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(299)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(300)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(302)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(306)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(308)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(309)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(310)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(311)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(312)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(313)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(317)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(321)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(322)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(326)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(328)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(333)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(334)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(335)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(338)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(339)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(343)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(345)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(348)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(349)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(351)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(356)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(357)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(358)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(360)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(369)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(370)), {C=0.0011344299489506524, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(371)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(376)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(378)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(384)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(385)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(386)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(389)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(391)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(392)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(395)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(399)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(400)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(401)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(402)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(404)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(408)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(410)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(412)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(415)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(416)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(418)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(419)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(420)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(421)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(423)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(424)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(426)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(427)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(428)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(429)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(431)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(432)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(433)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(435)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(438)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(440)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(441)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(442)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(443)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(445)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(446)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(447)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(448)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(450)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(451)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(454)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(455)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(456)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(457)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(458)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(460)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(461)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(463)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(465)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(466)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(468)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(470)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(471)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(473)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(475)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(478)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(481)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(485)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(487)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(490)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(492)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(494)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(495)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(500)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(502)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(503)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(504)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(510)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(513)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(514)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(515)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(518)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(519)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(523)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(525)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(526)), {C=0.0006806579693703913, S=0.0005836008170411438}
