(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(4)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(111)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(112)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(113)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(115)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(126)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(127)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(131)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(132)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(138)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(139)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(145)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(146)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(152)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(153)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(154)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(161)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(164)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(173)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(180)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(185)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(193)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(195)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(205)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(208)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(214)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(215)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(254)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(256)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(261)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(262)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(264)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(283)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(284)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(289)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(292)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(293)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(297)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(301)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(303)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(304)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(322)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(324)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(326)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(333)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(336)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(337)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(339)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(342)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(346)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(351)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(357)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(361)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(365)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(366)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(368)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(369)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(370)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(371)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(375)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(379)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(380)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(384)), {C=0.0013570194917345176, S=0.001069934831242097}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(386)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(392)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(394)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(398)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(400)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(404)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(406)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(407)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(411)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(412)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(413)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(414)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(416)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(419)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(420)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(422)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(423)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(425)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(427)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(428)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(429)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(431)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(433)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(437)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(442)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(443)), {C=0.0013570194917345176, S=0.001069934831242097}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(446)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(453)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(455)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(458)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(464)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(469)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(473)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(484)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(485)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(486)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(488)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(489)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(499)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(500)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(514)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(516)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(517)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(518)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(519)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(523)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(525)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(526)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(529)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(532)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(535)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(536)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(540)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(541)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(542)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(543)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(544)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(550)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(552)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(563)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(567)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(569)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(572)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(581)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(582)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(583)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(584)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(587)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(590)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(591)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(595)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(596)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(599)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(600)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(602)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(606)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(608)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(609)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(617)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(622)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(623)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(627)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(629)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(630)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(633)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(638)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(639)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(641)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(642)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(643)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(645)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(646)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(649)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(650)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(651)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(653)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(658)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(660)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(663)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(672)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(673)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(674)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(680)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(681)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(687)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(689)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(691)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(695)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(699)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(703)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(706)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(710)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(712)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(718)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(719)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(720)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(722)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(723)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(730)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(734)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(735)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(736)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(742)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(755)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(757)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(759)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(766)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(767)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(768)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(769)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(770)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(772)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(773)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(774)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(776)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(778)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(786)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(788)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(789)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(793)), {C=0.000616827041697508, S=0.00048633401420095323}
