(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(2)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(65)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(66)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(67)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(73)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(74)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(78)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(79)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(80)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(83)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(84)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(85)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(86)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(87)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(88)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(90)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(96)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(97)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(105)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(108)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(109)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(112)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(117)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(118)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(123)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(127)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(130)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(137)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(142)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(150)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(151)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(153)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(154)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(155)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(157)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(165)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(166)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(168)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(170)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(172)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(173)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(177)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(178)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(179)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(185)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(186)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(194)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(202)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(206)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(207)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(210)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(214)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(215)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(216)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(219)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(221)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(223)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(226)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(227)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(229)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(230)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(232)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(233)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(234)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(237)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(239)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(248)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(250)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(251)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(252)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(254)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(257)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(261)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(263)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(264)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(265)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(266)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(268)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(269)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(271)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(278)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(283)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(284)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(286)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(297)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(298)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(300)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(304)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(306)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(307)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(313)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(315)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(316)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(321)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(322)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(323)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(326)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(328)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(330)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(331)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(333)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(335)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(337)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(338)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(339)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(340)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(341)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(342)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(344)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(345)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(349)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(350)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(353)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(356)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(359)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(360)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(363)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(364)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(368)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(371)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(373)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(374)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(375)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(376)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(378)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(382)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(384)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(386)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(390)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(392)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(393)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(394)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(395)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(396)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(399)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(402)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(403)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(404)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(405)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(406)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(407)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(409)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(410)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(411)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(412)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(415)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(416)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(418)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(419)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(420)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(426)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(427)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(428)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(430)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(432)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(434)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(436)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(438)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(440)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(441)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(442)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(443)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(446)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(447)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(448)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(450)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(451)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(453)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(454)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(455)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(456)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(457)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(458)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(461)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(462)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(464)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(466)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(467)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(468)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(471)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(472)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(476)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(477)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(478)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(479)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(481)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(482)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(485)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(495)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(496)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(497)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(498)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(499)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(500)), {C=0.0005709717939933768, S=0.00048633401420095323}
